feature_id,media_id,type,path,source_url,source_path,version,start,end
XMI-F01,X4-V03,video,../../media/mobile-v2/legacy/assets/clips/X4-V03-v1-000000-008866.mp4,https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-barLite-pc.mp4,,HyperOS4 Beta／小爱8.1+,0,8.867
XMI-F01,IMG-207,image,../../media/mobile-v2/legacy/assets/images/IMG-207-v1.jpg,https://os.mi.com/,,,,
XMI-F01,EXT-012,image,../../media/mobile-v2/legacy/assets/images/EXT-012-v1.jpg,https://app.mi.com/details?id=com.miui.voiceassist,,,,
XMI-F02,XCOMP8-01,video,../../media/mobile-v2/local/assets/clips/XCOMP8-01-v2-0048000-0060000.mp4,https://www.bilibili.com/video/BV1XtrhYJEhN/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/XC8-companion-BV1XtrhYJEhN-2025.mp4,作者标HyperOS2 / 2025-01 / 机型及build未核实 / 中文社区演示,48,60
XMI-F02,XCOMP8-ENTRY,image,../../media/mobile-v2/local/assets/thumbs/XCOMP8-ENTRY-v8.png,https://m.ithome.com/html/991448.htm,,HyperOS 4 Beta / 中国大陆 / 2026-08专业实测,,
XMI-F02,XMIT7-21,image,../../media/mobile-v2/local/assets/thumbs/XMIT7-21-v7.png,https://m.ithome.com/html/991448.htm,,HyperOS4 Beta / IT之家2026-08 / 中国,,
XMI-F03,XM-01,video,../../media/mobile-v2/local/assets/clips/XM-01-v2-0214000-0225000.mp4,https://www.bilibili.com/video/BV1Tmgw6LE86/,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/XM01-hyperos4-handson.mp4,HyperOS 4内测体验 / 原片未展示具体小版本 / 中国大陆,214,225
XMI-F04,X4-V11,video,../../media/mobile-v2/legacy/assets/clips/X4-V11-v1-000000-005133.mp4,https://cdn-file.hyperos.mi.com/assets-hyperos4homepage/video/ai-relayPhone-pc-0812.mp4,,HyperOS4 Beta／小爱8.1+,0,5.133
XMI-F04,IMG-205,image,../../media/mobile-v2/legacy/assets/images/IMG-205-v1.jpg,https://os.mi.com/,,,,
XMI-F05,XC22-01,video,../../media/mobile-v2/local/assets/clips/XC22-01-v22-0000000-0013000.mp4,https://bbs.tatans.cn/topic/78284,[LOCAL_SOURCE_NOT_INCLUDED]/mobile-ai-interactions-v2/sources/XC21-community-camera.mp4,历史社区录屏；中文界面，机型、系统/应用版本与销售市场未核,0,13.0
